station_id,n_per_id,station_name,station_latitude,station_longitude,city,departure_count,arrival_count,net_change,prop_inflow,is_transit,elevation,elev_units,station_longitude.1,station_latitude.1
70,1,Central Ave at Fell St,37.77331087889723,-122.44429260492325,SanFrancisco,15173,12380,-2793,-0.1840769788439992,FALSE,67.97,meters,-122.44429260492325,37.77331087889723
71,1,Broderick St at Oak St,37.7730627,-122.4390777,SanFrancisco,6710,3884,-2826,-0.4211624441132638,FALSE,62.22,meters,-122.43907769999998,37.7730627
72,1,Page St at Scott St,37.772406,-122.4356498,SanFrancisco,8222,5571,-2651,-0.32242763317927514,FALSE,52.3,meters,-122.4356498,37.772406
73,1,Pierce St at Haight St,37.7717933,-122.4337079,SanFrancisco,4703,3090,-1613,-0.3429725706995535,FALSE,46.31,meters,-122.4337079,37.7717933
74,1,Laguna St at Hayes St,37.776434819204745,-122.42624402046204,SanFrancisco,12034,12780,746,0.06199102542795413,FALSE,23.76,meters,-122.42624402046204,37.776434819204745
75,1,Market St at Franklin St,37.7737932060887,-122.42123901844025,SanFrancisco,10447,10196,-251,-0.024026036182636164,FALSE,16.68,meters,-122.42123901844025,37.7737932060887
76,1,McCoppin St at Valencia St,37.77166246221617,-122.42242321372034,SanFrancisco,10322,10326,4,3.8752179810114316e-4,FALSE,15.84,meters,-122.42242321372034,37.77166246221617
77,1,11th St at Natoma St,37.7735069,-122.4160402,SanFrancisco,9145,9356,211,0.023072717331875343,FALSE,11.43,meters,-122.41604020000001,37.7735069
78,1,Folsom St at 9th St,37.7737172,-122.4116467,SanFrancisco,8201,7666,-535,-0.06523594683575173,FALSE,11.22,meters,-122.4116467,37.7737172
79,1,7th St at Brannan St,37.7734919,-122.4036725,SanFrancisco,10399,9467,-932,-0.08962400230791422,FALSE,5.71,meters,-122.4036725,37.7734919
80,1,Townsend St at 5th St,37.7753058,-122.39738,SanFrancisco,11330,9231,-2099,-0.1852603706972639,FALSE,2.97,meters,-122.39737999999998,37.7753058
